,Single Cell Count,Live Cell Count,CD4+ T Cell Count,Treg Count,LPAM1+ Treg Count,CCR9+ Treg Count,CCR9+ LPAM1+ Treg Count,CD8+ T Cell Count,LPAM1+ CD8+ T Cell Count,CCR9+ CD8+ T Cell Count,CCR9+ LPAM1+ CD8+ T Cell Count,LPAM1+ CD4+ T Cell Count,CCR9+ CD4+ T Cell Count,CCR9+ LPAM1+ CD4+ T Cell Count
A1 SILP 1.fcs,304281,193547,43029,1425,44,69,8,14292,250,5468,512,2407,11234,2030
A2 SILP 2.fcs,4.43E+05,230599,46058,1604,101,83,198,9158,185,4934,328,2531,14456,8161
A3 SILP 3.fcs,1.51E+06,68919,16161,465,13,202,186,2840,64,1601,150,378,5667,2449
A4 SILP 4.fcs,391199,110866,23984,1130,69,417,385,5812,215,2470,180,1551,6856,3675
A5 SILP 5.fcs,87443,17149,1098,40,1,17,5,178,1,74,8,12,288,73
A6 SILP 6.fcs,309949,128582,28448,1336,122,433,485,13810,643,6035,685,2264,9872,4149
A7 SILP 7.fcs,6.80E+05,190514,18686,881,40,263,480,7030,501,3384,656,848,6965,4863
A8 SILP 8.fcs,5.54E+05,335493,38266,1336,92,457,486,16171,628,6578,908,2224,12732,6060
B1 SILP 10.fcs,9.81E+05,4.09E+05,1845,63,3,25,11,284,15,143,33,70,723,271
B2 SILP 11.fcs,7.47E+05,4.37E+05,13744,320,10,154,84,3550,125,1500,99,392,4069,1747
B3 SILP 12.fcs,1.04E+06,213937,22401,992,46,454,354,6763,136,3816,139,919,9696,3830
B4 SILP 13.fcs,6.07E+05,197463,33310,1786,180,659,483,9766,309,4049,432,2010,11638,4580
B5 SILP 14.fcs,273208,69069,13837,618,59,225,173,4666,217,1564,145,946,4323,1945
B6 SILP 15.fcs,8.42E+05,209573,57308,2224,168,724,883,16195,686,6762,712,3670,21582,8994
B7 Fix Violet FMO.fcs,38887,38580,3520,264,81,30,135,942,289,128,425,1331,402,1345
B7 SILP 16.fcs,4.92E+05,152821,27371,1174,138,357,414,12439,461,4821,351,2485,8892,3646
B8 BV605 CD25 FMO.fcs,41833,18532,3547,17,0,7,10,984,47,454,63,336,1148,473
B8 SILP 17.fcs,4.39E+05,186656,35289,1294,181,339,403,9458,540,4138,579,3412,11337,4165
C1 FITC CD4 FMO.fcs,39909,17216,7,0,0,0,0,997,60,481,61,1,0,6
C1 SILP 18.fcs,5.48E+05,240242,40105,1016,57,401,349,8930,199,4350,231,1561,16162,8860
C2 PerCP-eFluor 710 CCR9 FMO.fcs,49076,20728,4248,158,75,0,2,1191,144,1,4,980,2,45
C2 SILP 19.fcs,379871,285483,47533,1565,173,445,645,12628,452,4969,456,2913,15721,10007
C3 PE FoxP3 FMO.fcs,45230,19809,3328,1,0,0,1,737,54,314,75,353,1083,546
C3 SILP 20.fcs,7.12E+05,277747,52237,585,33,241,190,8609,295,3562,392,2046,11088,4742
C4 PE-Cy7 CD8 FMO.fcs,60481,26005,4289,91,14,19,37,5,0,2,3,523,1354,742
C4 SILP 21.fcs,8.03E+05,209806,48311,1620,177,461,672,14685,428,6854,561,3294,16105,8683
C5 APC LPAM-1 FMO.fcs,41104,18871,3160,83,1,46,8,720,0,373,2,4,1481,26
C5 SILP 22.fcs,4.38E+05,283890,39023,1818,90,36,19,9234,380,4234,597,2811,13568,8306
C6 SILP 23.fcs,8.09E+05,4.07E+05,38750,1311,80,480,592,7398,248,4250,359,1501,13040,10556
C7 SILP 24.fcs,4.46E+05,202217,32759,457,58,148,145,7199,386,2880,738,3404,10259,5306
C8 SILP 25.fcs,382911,248363,64367,2069,346,370,731,16683,1362,5232,979,6624,12121,6615
D1 SILP 26.fcs,4.34E+05,222204,43730,1817,210,530,607,11618,532,4630,877,3515,15017,5136
D2 SILP 27.fcs,353813,109859,23825,683,60,253,201,7480,187,2485,130,1194,6304,2675
D3 SILP 28.fcs,5.13E+05,288060,70791,2242,48,60,15,15138,1070,3203,613,5684,10092,3688
Mean,4.66E+05,178994,27775,990,98.9,321,343,7576,327,3110,367,1888,8390,4070
SD,338734,122045,20016,782,92.7,259,297,5468,303,2205,293,1581,5873,3198
