Flow ID,Mouse ID,Condition,Tx
1,C1M2,Isotype,PBS
2,C1M3,Isotype,PBS
3,C1M4,Isotype,PBS
4,C3M2,Isotype,PBS
5,C3M4,Isotype,PBS
6,C3M5,Isotype,PBS
7,C2M3,anti-CD20,PBS
8,C2M4,anti-CD20,PBS
9,C4M1,anti-CD20,PBS
10,C4M3,anti-CD20,PBS
11,C4M4,anti-CD20,PBS
12,C5M1,Isotype,PLG(OVA)
13,C5M3,Isotype,PLG(OVA)
14,C5M5,Isotype,PLG(OVA)
15,C7M1,Isotype,PLG(OVA)
16,C7M2,Isotype,PLG(OVA)
17,C7M3,Isotype,PLG(OVA)
18,C7M4,Isotype,PLG(OVA)
19,C7M5,Isotype,PLG(OVA)
20,C6M1,anti-CD20,PLG(OVA)
21,C6M2,anti-CD20,PLG(OVA)
22,C6M3,anti-CD20,PLG(OVA)
23,C6M4,anti-CD20,PLG(OVA)
24,C6M5,anti-CD20,PLG(OVA)
25,C8M2,anti-CD20,PLG(OVA)
26,C8M3,anti-CD20,PLG(OVA)
27,C8M4,anti-CD20,PLG(OVA)
28,C8M5,anti-CD20,PLG(OVA)
